source_collection,doc_id,doc_timestamp,sample_index,node_id,sample_ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,processed_at
node_data_0v3,node_1_1775451005,2026-04-06T04:49:14.000Z,2,node_1,2026-04-06T04:48:14.000Z,6044332,36.54333,43.38334,0,13.53712,88.10526,0.91275,-0.061035,60,
node_data_0v3,node_1_1775451005,2026-04-06T04:49:14.000Z,3,node_1,2026-04-06T04:49:14.000Z,6104331,36.58833,43.21667,0,13.53579,85.08301,0.912312,-0.059001,60,
node_data_0v3,node_1_1775451255,2026-04-06T04:54:14.000Z,0,node_1,2026-04-06T04:50:14.000Z,6164332,36.61833,43.05666,0,13.53156,88.97196,0.912187,-0.06307,60,
node_data_0v3,node_1_1775451255,2026-04-06T04:54:14.000Z,1,node_1,2026-04-06T04:51:14.000Z,6224332,36.5,43.55166,0,13.53098,86.42985,0.910125,-0.067139,60,
node_data_0v3,node_1_1775451255,2026-04-06T04:54:14.000Z,2,node_1,2026-04-06T04:52:14.000Z,6284331,36.37335,43.81835,0,13.52725,89.11438,0.910083,-0.056966,60,
node_data_0v3,node_1_1775451255,2026-04-06T04:54:14.000Z,3,node_1,2026-04-06T04:53:14.000Z,6344332,36.35501,45.41,0,13.52592,85.12777,0.910979,-0.061035,60,
node_data_0v3,node_1_1775451255,2026-04-06T04:54:14.000Z,4,node_1,2026-04-06T04:54:14.000Z,6404332,36.40335,44.39666,0,13.52227,90.56295,0.909438,-0.060018,60,
node_data_0v3,node_1_1775451315,2026-04-06T04:55:14.000Z,0,node_1,2026-04-06T04:55:14.000Z,6464333,36.34835,45.66166,0,13.52023,90.1062,0.910646,-0.066121,60,
node_data_0v3,node_1_1775451605,2026-04-06T04:59:14.000Z,0,node_1,2026-04-06T04:56:14.000Z,6524331,36.33501,45.34167,0,13.51852,87.68106,0.910708,-0.06307,60,
node_data_0v3,node_1_1775451605,2026-04-06T04:59:14.000Z,1,node_1,2026-04-06T04:57:14.000Z,6584332,36.31834,46.40332,0,13.51633,89.00757,0.910146,-0.059001,60,
node_data_0v3,node_1_1775451605,2026-04-06T04:59:14.000Z,2,node_1,2026-04-06T04:58:14.000Z,6644333,36.38834,45.47834,0,13.51531,87.33316,0.910146,-0.064087,60,
node_data_0v3,node_1_1775451605,2026-04-06T04:59:14.000Z,3,node_1,2026-04-06T04:59:14.000Z,6704332,36.34169,44.10334,0,13.51237,89.35445,0.909979,-0.059001,60,
node_data_0v3,node_1_1775451855,2026-04-06T05:04:14.000Z,0,node_1,2026-04-06T05:00:14.000Z,6764332,36.30168,44.5,0,13.50927,91.13058,0.910208,-0.067139,60,
node_data_0v3,node_1_1775451855,2026-04-06T05:04:14.000Z,1,node_1,2026-04-06T05:01:14.000Z,6824332,36.27,45.74665,0,13.50777,88.18258,0.910583,-0.065104,60,
node_data_0v3,node_1_1775451855,2026-04-06T05:04:14.000Z,2,node_1,2026-04-06T05:02:14.000Z,6884332,36.27501,45.14,0,13.50638,87.20296,0.910562,-0.060018,60,
node_data_0v3,node_1_1775451855,2026-04-06T05:04:14.000Z,3,node_1,2026-04-06T05:03:14.000Z,6944332,36.26501,44.94,0,13.50402,86.57532,0.912833,-0.062052,60,
node_data_0v3,node_1_1775451855,2026-04-06T05:04:14.000Z,4,node_1,2026-04-06T05:04:14.000Z,7004332,36.20165,44.43168,0,13.50252,87.66378,0.912229,-0.061035,60,
node_data_0v3,node_1_1775451915,2026-04-06T05:05:14.000Z,0,node_1,2026-04-06T05:05:14.000Z,7064332,36.15831,44.96498,0,13.49884,89.35648,0.911875,-0.064087,60,
node_data_0v3,node_1_1775452205,2026-04-06T05:09:14.000Z,0,node_1,2026-04-06T05:06:14.000Z,7124332,36.15332,44.11333,0,13.49756,88.1246,0.911625,-0.057983,60,
node_data_0v3,node_1_1775452205,2026-04-06T05:09:14.000Z,1,node_1,2026-04-06T05:07:14.000Z,7184332,36.16666,44.80999,0,13.49592,86.93542,0.91225,-0.06307,60,
node_data_0v3,node_1_1775452205,2026-04-06T05:09:14.000Z,2,node_1,2026-04-06T05:08:14.000Z,7244331,36.22833,44.88665,0,13.4945,86.47766,0.911937,-0.060018,60,
node_data_0v3,node_1_1775452205,2026-04-06T05:09:14.000Z,3,node_1,2026-04-06T05:09:14.000Z,7304332,36.30669,45.02833,0,13.49075,90.73181,0.911937,-0.064087,60,
node_data_0v3,node_1_1775452455,2026-04-06T05:14:14.000Z,0,node_1,2026-04-06T05:10:14.000Z,7364332,36.34501,44.63001,0,13.48935,89.0564,0.912375,-0.065104,60,
node_data_0v3,node_1_1775452455,2026-04-06T05:14:14.000Z,1,node_1,2026-04-06T05:11:14.000Z,7424332,36.29,43.77999,0,13.48715,87.19584,0.913146,-0.061035,60,
node_data_0v3,node_1_1775452455,2026-04-06T05:14:14.000Z,2,node_1,2026-04-06T05:12:14.000Z,7484332,36.14666,43.57501,0,13.48646,86.84387,0.913687,-0.06307,60,
node_data_0v3,node_1_1775452455,2026-04-06T05:14:14.000Z,3,node_1,2026-04-06T05:13:14.000Z,7544332,36.035,44.46167,0,13.48475,85.97412,0.913458,-0.060018,60,
node_data_0v3,node_1_1775452455,2026-04-06T05:14:14.000Z,4,node_1,2026-04-06T05:14:14.000Z,7604332,35.95834,45.35168,0,13.48248,87.28535,0.913229,-0.062052,60,
node_data_0v3,node_1_1775452515,2026-04-06T05:15:14.000Z,0,node_1,2026-04-06T05:15:14.000Z,7664332,35.89834,44.65667,0,13.48052,85.60995,0.91325,-0.061035,60,
node_data_0v3,node_1_1775452805,2026-04-06T05:19:14.000Z,0,node_1,2026-04-06T05:16:14.000Z,7724332,35.86001,45.29,0,13.47804,89.43379,0.91325,-0.062052,60,
node_data_0v3,node_1_1775452805,2026-04-06T05:19:14.000Z,1,node_1,2026-04-06T05:17:14.000Z,7784331,35.87502,45.66667,0,13.47583,88.67289,0.913104,-0.065104,60,
node_data_0v3,node_1_1775452805,2026-04-06T05:19:14.000Z,2,node_1,2026-04-06T05:18:14.000Z,7844332,35.84668,46.58666,0,13.47354,89.18457,0.913667,-0.056966,60,
node_data_0v3,node_1_1775452805,2026-04-06T05:19:14.000Z,3,node_1,2026-04-06T05:19:14.000Z,7904333,35.92334,45.86165,0,13.47267,88.90585,0.913312,-0.06307,60,
node_data_0v3,node_1_1775453055,2026-04-06T05:24:14.000Z,0,node_1,2026-04-06T05:20:14.000Z,7964332,35.97001,45.46499,0,13.4704,88.65559,0.913021,-0.06307,60,
node_data_0v3,node_1_1775453055,2026-04-06T05:24:14.000Z,1,node_1,2026-04-06T05:21:14.000Z,8024332,35.90668,44.67834,0,13.46879,88.04016,0.913229,-0.06307,60,
node_data_0v3,node_1_1775453055,2026-04-06T05:24:14.000Z,2,node_1,2026-04-06T05:22:14.000Z,8084332,35.75999,44.76833,0,13.46719,85.77271,0.913292,-0.065104,60,
node_data_0v3,node_1_1775453055,2026-04-06T05:24:14.000Z,3,node_1,2026-04-06T05:23:14.000Z,8144332,35.72666,44.56833,0,13.46629,86.94051,0.914021,-0.057983,60,
node_data_0v3,node_1_1775453055,2026-04-06T05:24:14.000Z,4,node_1,2026-04-06T05:24:14.000Z,8204332,35.69332,45.08165,0,13.46404,84.77884,0.91475,-0.060018,60,
node_data_0v3,node_1_1775453115,2026-04-06T05:25:14.000Z,0,node_1,2026-04-06T05:25:14.000Z,8264333,35.69666,45.50001,0,13.46212,87.63326,0.912479,-0.061035,60,
node_data_0v3,node_1_1775453405,2026-04-06T05:29:14.000Z,0,node_1,2026-04-06T05:26:14.000Z,8324332,35.68998,45.38334,0,13.46111,84.2336,0.914896,-0.056966,60,
node_data_0v3,node_1_1775453405,2026-04-06T05:29:14.000Z,1,node_1,2026-04-06T05:27:14.000Z,8384332,35.63166,45.08168,0,13.45952,87.52441,0.914416,-0.057983,60,
